majorCategory,major,women,median,fulltime,college,unemploymentRate
Humanities & Liberal Arts,United States History,0.429684963,0.363636364,0.683013966,0.287405813,0.047179487
Psychology & Social Work,Industrial And Organizational Psychology,0.643331121,0.363636364,0.545454545,0.238583013,0.108786611
Agriculture & Natural Resources,Agricultural Economics,0.282902829,0.363636364,0.745797458,0.246090156,0.077249576
Physical Sciences,Physical Sciences,0.377437326,0.363636364,0.534818942,0.462478185,0.035353535
Industrial Arts & Consumer Services,Military Technologies,0,0.363636364,0.89516129,0,0
Physical Sciences,Chemistry,0.505140538,0.354545455,0.593852397,0.625981251,0.0539724
Industrial Arts & Consumer Services,"Electrical, Mechanical, And Precision Technologies And Production",0.232443532,0.349090909,0.84476386,0.104888467,0.029479503
Business,Business Management And Administration,0.473189524,0.345454545,0.762411079,0.132930776,0.072218341
Business,Marketing And Marketing Research,0.615727227,0.345454545,0.763448353,0.141561651,0.061215064
Social Science,Political Science And Government,0.485929877,0.345454545,0.644553474,0.27615508,0.101174601
Social Science,Geography,0.382900433,0.345454545,0.615097403,0.380593299,0.113458628
Biology & Life Science,Microbiology,0.580948004,0.345454545,0.489298845,0.575838926,0.066775872
Computers & Mathematics,Computer Administration Management And Security,0.180882718,0.340909091,0.779692537,0.361653096,0.099723375
Biology & Life Science,Biochemical Sciences,0.515406449,0.34,0.527859463,0.609626918,0.080531385
Biology & Life Science,Botany,0.52896915,0.336363636,0.711813394,0.67029703,0
Computers & Mathematics,Computer Networking And Telecommunications,0.305004597,0.330909091,0.721791672,0.42203776,0.151849807
Physical Sciences,Geology And Earth Science,0.470196865,0.329090909,0.634888808,0.585583414,0.075448568
Business,Human Resources And Personnel Management,0.747560926,0.327272727,0.75723558,0.115895954,0.059569649
Law & Public Policy,Pre-Law And Legal Studies,0.672161443,0.327272727,0.580351863,0.205080926,0.071965016
Health,Miscellaneous Health Medical Professions,0.881293889,0.327272727,0.561332736,0.56093688,0.08141125
Law & Public Policy,Public Administration,0.476461183,0.327272727,0.736898206,0.221019721,0.1594906
Physical Sciences,Geosciences,0.591001011,0.327272727,0.639029323,0.54406662,0.024373731
Psychology & Social Work,Social Psychology,0.702020202,0.327272727,0.597402597,0.401851852,0.029649596
Biology & Life Science,Environmental Science,0.584556133,0.323636364,0.654226844,0.390670694,0.078584681
Communications & Journalism,Communications,0.669998505,0.318181818,0.688494177,0.226923783,0.075176976
